datetime,Close,Open,High,Low,Volume,Change
2023/9/19,6.3,6.23,6.31,6.19,71.68M,0.80%
2023/9/18,6.25,6.35,6.38,6.19,86.26M,-1.57%
2023/9/15,6.35,6.38,6.44,6.29,153.36M,1.44%
2023/9/14,6.26,6.18,6.28,6.15,107.12M,1.79%
2023/9/13,6.15,6.17,6.2,6.09,58.89M,-0.32%
2023/9/12,6.17,6.22,6.29,6.16,69.26M,-0.32%
2023/9/11,6.19,6.1,6.25,6.09,90.83M,1.81%
2023/9/8,6.08,6.14,6.15,6.07,38.09M,-1.30%
2023/9/7,6.16,6.26,6.28,6.14,76.99M,-1.44%
2023/9/6,6.25,6.3,6.35,6.13,127.75M,1.13%
2023/9/5,6.18,6.15,6.2,6.09,77.98M,0.16%
2023/9/4,6.17,6.1,6.23,6.06,189.32M,3.87%
2023/9/1,5.94,5.74,6.04,5.74,132.27M,3.66%
2023/8/31,5.73,5.79,5.86,5.72,59.73M,-0.87%
2023/8/30,5.78,5.79,5.86,5.76,81.95M,0.17%
2023/8/29,5.77,5.76,5.84,5.63,112.46M,0.70%
2023/8/28,5.73,6.05,6.09,5.7,142.74M,-1.21%
2023/8/25,5.8,5.8,5.87,5.75,86.69M,-0.85%
2023/8/24,5.85,5.78,5.95,5.77,110.83M,2.81%
2023/8/23,5.69,5.83,5.83,5.69,86.14M,-2.23%
2023/8/22,5.82,5.69,5.88,5.68,113.64M,3.19%
2023/8/21,5.64,5.66,5.74,5.63,54.59M,-0.53%
2023/8/18,5.67,5.84,5.84,5.67,53.43M,-2.24%
2023/8/17,5.8,5.73,5.8,5.67,64.71M,0.17%
2023/8/16,5.79,5.76,5.86,5.76,41.33M,-0.86%
2023/8/15,5.84,5.88,5.92,5.74,62.18M,-0.51%
2023/8/14,5.87,5.88,5.91,5.77,82.97M,-1.34%
2023/8/11,5.95,6.09,6.13,5.92,91.15M,-2.30%
2023/8/10,6.09,6.12,6.16,6.05,52.44M,-0.65%
2023/8/9,6.13,6.09,6.15,6.08,43.66M,-0.16%
2023/8/8,6.14,6.11,6.19,6.02,81.74M,0.49%
2023/8/7,6.11,6.09,6.13,6.03,50.83M,0.16%
2023/8/4,6.1,6.19,6.31,6.07,128.98M,0.00%
2023/8/3,6.1,6.1,6.14,6.03,107.17M,-0.97%
2023/8/2,6.16,6.21,6.23,6.13,79.83M,-1.44%
2023/8/1,6.25,6.29,6.48,6.21,174.59M,1.30%
2023/7/31,6.17,6.12,6.28,6.08,157.42M,2.32%
2023/7/28,6.03,5.87,6.04,5.84,100.88M,1.86%
2023/7/27,5.92,6.03,6.04,5.91,76.85M,-1.82%
2023/7/26,6.03,6.01,6.08,5.95,85.98M,0.84%
2023/7/25,5.98,5.88,6.15,5.88,147.09M,4.00%
